_id__$oid	id	code	name	short_name	campus	lat	lng	address__street	address__city	address__province	address__country	address__postal
56af1083a6b3f10a7e86cd39	47	CG	Canadiana Gallery	Canadiana	UTSG	43.66192	-79.39292	14  Queen's Park Crescent West	Toronto	ON	Canada	M5S 3K9
56af1083a6b3f10a7e86cd3a	405	EH	Elmsley Hall	Elmsley	UTSG	43.66689	-79.39027	81  St. Mary Street	Toronto	ON	Canada	M5S 1J4
56af1083a6b3f10a7e86cd3b	323H	XX323H	McLuhan Court Res - Block H (Phase II)	McLuhan - H	UTM	43.54789	-79.66572	3330 Residence Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd3c	323O	XX323O	Putnam Place Res - Block O (Phase III)	Putnam-O	UTM	43.54688	-79.66449	1930 Outer Circle	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd3d	70	GB	Galbraith Building	Galbraith	UTSG	43.65988	-79.39619	35  St. George Street	Toronto	ON	Canada	M5S 1A4
56af1083a6b3f10a7e86cd3e	110	IR	St. George Street-121	StGeorge-121	UTSG	43.66669	-79.3991	121  St. George Street	Toronto	ON	Canada	M5S 2E8
56af1083a6b3f10a7e86cd3f	93	EL	Electrometallurgy Lab	Electrometal	UTSG	43.65947	-79.3953	11  King's College Road (rear)	Toronto	ON	Canada	M5S 3J2
56af1083a6b3f10a7e86cd40	417	PH	Phelan House	Phelan	UTSG	43.6658	-79.38944	3  Elmsley Place	Toronto	ON	Canada	
56af1083a6b3f10a7e86cd41	138	CA	Huron Street-370	Huron St-370	UTSG	43.66457	-79.40069	370  Huron Street	Toronto	ON	Canada	M5S 2G4
56af1083a6b3f10a7e86cd42	101	MO	Morrison Hall	MorrisonHall	UTSG	43.6631	-79.39761	75  St. George Street	Toronto	ON	Canada	M5S 2E5
56af1083a6b3f10a7e86cd43	311	NE	North Building	North Bldg	UTM	43.55103	-79.66593	3359  Mississauga Road	Mississauga	ON	Canada	L5L 1C6
56af1083a6b3f10a7e86cd44	61	SB	Borden Building South	Borden South	UTSG	43.66007	-79.39967	487  Spadina Crescent	Toronto	ON	Canada	M5S 2T4
56af1083a6b3f10a7e86cd45	323V	XX323V	MaGrath Valley Res - Block V (Phase V)	MaGrath-V	UTM	43.54548	-79.66187	1499 The Collegeway	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd46	505	LB	Burwash Residence (Lower Houses)	BurwashLower	UTSG	43.66638	-79.39085	89  Charles Street West	Toronto	ON	Canada	M5S 1K6
56af1083a6b3f10a7e86cd47	323C	XX323C	Schreiberwood Res - Block C (Phase I)	Schreiberwood-C	UTM	43.54872	-79.6677	3400 Residence Road	Mississauga	ON	Canada	L5L 1J7
56af1083a6b3f10a7e86cd48	210J	XX210J	Block J(Student Townhouse Res-Phase III)	Block J-Pse III	UTSC	43.78565	-79.18971	1235 Military Trail	Scarborough	ON	Canada	M1C 1A3
56af1083a6b3f10a7e86cd49	210B	XX210B	Block B (Student Townhouse Res-Phase I)	Block B-Pse I	UTSC	43.7835	-79.18406	1295 Military Trail	Scarborough	ON	Canada	M1C 3A8
56af1083a6b3f10a7e86cd4a	330	WC	UTM Alumni House	UTM Alumni	UTM	43.54474	-79.66035	1550 The Collegeway	Mississauga	ON	Canada	
